fid, percentile_ratos_p20_p50_ratio, percentile_ratos_p80_p20_ratio, income_share_top_5pc_pc, median_aud, highest_quartile_pc, median_age_of_earners_years, sa2_code, third_quartile_pc, sa2_name, percentile_ratos_p80_p50_ratio, earners_persons, gini_coefficient_coef, income_share_top_1pc_pc, lowest_quartile_pc, mean_aud, sum_aud, second_quartile_pc, percentile_ratos_p10_p50_ratio, income_share_top_10pc_pc
711,0.38,4.89,23.3,58667.0,34.0,33.0,"206061136",25.1,"Prahran - Windsor",1.87,14996.0,0.48,9.8,20.4,78362.0,1.175121809E9,20.5,0.2,34.5
826,0.42,4.17,17.5,51489.0,24.9,44.0,"210041240",28.2,"Sunbury",1.74,7829.0,0.421,5.8,21.2,60473.0,4.73442216E8,25.7,0.2,28.2
827,0.43,3.88,16.2,50727.0,23.0,41.0,"210041241",29.7,"Sunbury - South",1.69,15982.0,0.401,5.2,20.7,57771.0,9.23288184E8,26.6,0.21,26.6
716,0.39,4.62,19.6,56825.0,31.6,33.0,"206071141",25.6,"Collingwood",1.79,5698.0,0.445,7.0,20.6,69726.0,3.97299391E8,22.2,0.21,30.6
825,0.4,4.5,15.7,47312.0,21.1,40.0,"210031440",27.7,"Hadfield",1.78,2786.0,0.413,4.9,25.0,53617.0,1.49377288E8,26.2,0.18,26.5
717,0.36,5.58,28.1,54622.0,33.2,34.0,"206071142",21.6,"Fitzroy",2.04,7052.0,0.53,13.2,22.5,80755.0,5.69485085E8,22.6,0.18,39.3
755,0.38,4.98,18.3,52729.0,29.5,39.0,"208021180",24.4,"Hughesdale",1.88,4410.0,0.45,5.9,22.9,64894.0,2.86183161E8,23.2,0.17,29.7
970,0.38,4.65,15.7,55310.0,29.8,36.0,"213051466",26.8,"Point Cook - South",1.78,8772.0,0.416,4.5,21.5,63737.0,5.59100895E8,21.9,0.18,26.6
769,null,null,null,65632.0,null,53.0,"208031192",null,"Moorabbin Airport",null,7.0,null,null,null,66862.0,468034.0,null,null,null
774,0.37,4.84,17.6,53472.0,28.9,44.0,"209011197",25.6,"Greensborough",1.81,12751.0,0.435,6.0,22.7,63308.0,8.07242418E8,22.7,0.17,28.4
738,0.32,6.47,19.4,46228.0,26.9,45.0,"207031162",21.2,"Blackburn South",2.09,6011.0,0.483,6.2,28.2,60483.0,3.63560686E8,23.7,0.13,31.4
743,0.31,7.09,26.7,57439.0,36.4,46.0,"207031167",19.6,"Surrey Hills (East) - Mont Albert",2.19,6709.0,0.548,11.0,25.2,86366.0,5.79429162E8,18.8,0.13,39.0
746,0.32,7.2,28.6,59126.0,38.3,48.0,"208011170",18.1,"Brighton East",2.34,10044.0,0.564,11.8,23.6,95730.0,9.61509068E8,20.0,0.13,40.8
747,0.36,5.53,19.8,55336.0,33.2,43.0,"208011171",22.3,"Cheltenham - Highett (West)",2.0,7021.0,0.472,6.5,22.6,72159.0,5.06625647E8,21.9,0.16,31.5
748,0.33,7.14,29.3,57701.0,37.5,47.0,"208011172",18.7,"Hampton",2.34,11134.0,0.568,12.2,23.9,95772.0,1.066320126E9,19.9,0.14,41.8
680,0.38,4.89,18.7,51576.0,28.2,34.0,"206011105",24.7,"Brunswick",1.85,17741.0,0.45,6.3,23.3,63199.0,1.121215368E9,23.8,0.19,29.9
681,0.38,4.66,17.9,54618.0,29.5,34.0,"206011106",26.2,"Brunswick East",1.77,7948.0,0.432,5.7,22.0,64629.0,5.13672874E8,22.3,0.19,28.7
684,0.39,4.62,17.8,55080.0,30.6,42.0,"206011109",25.5,"Pascoe Vale South",1.8,6140.0,0.435,5.8,21.1,66374.0,4.07534464E8,22.9,0.2,28.8
693,0.32,6.07,23.8,51342.0,29.7,32.0,"206041118",22.4,"Docklands",1.96,8957.0,0.507,9.6,27.2,68978.0,6.17832233E8,20.7,0.16,35.4
694,0.34,6.09,38.6,70034.0,43.0,40.0,"206041119",22.1,"East Melbourne",2.05,3792.0,0.609,19.2,19.6,124057.0,4.70425745E8,15.4,0.17,49.6
697,0.31,8.57,31.0,28068.0,17.6,29.0,"206041122",17.1,"Melbourne",2.66,24075.0,0.599,15.1,43.0,51261.0,1.234101152E9,22.3,0.13,43.2
695,null,null,null,60511.0,null,32.0,"206041120",null,"Flemington Racecourse",null,47.0,null,null,null,75526.0,3549726.0,null,null,null
700,0.35,6.12,41.4,65330.0,40.4,39.0,"206041125",21.8,"South Yarra - West",2.15,4720.0,0.634,23.1,20.0,125363.0,5.91714241E8,17.8,0.16,52.1
759,0.37,5.24,18.9,51321.0,28.8,44.0,"208021427",24.0,"Bentleigh East (South)",1.93,7796.0,0.461,6.1,24.1,64359.0,5.01742273E8,23.1,0.17,30.4
710,0.34,6.31,36.6,64075.0,39.9,41.0,"206061135",20.9,"Armadale",2.15,6486.0,0.605,19.4,20.7,112884.0,7.32168789E8,18.5,0.16,48.0
750,0.35,5.92,21.2,53843.0,32.9,45.0,"208021174",21.4,"Bentleigh - McKinnon",2.07,13879.0,0.494,7.4,24.2,72884.0,1.011558092E9,21.5,0.15,33.3
760,0.4,4.67,18.9,51133.0,27.7,45.0,"208031183",24.6,"Aspendale Gardens - Waterways",1.86,5435.0,0.448,6.4,22.3,63551.0,3.45398059E8,25.4,0.19,30.1
756,0.37,5.26,20.4,52454.0,30.1,40.0,"208021181",23.4,"Murrumbeena",1.94,5966.0,0.47,7.1,23.2,67878.0,4.04959453E8,23.3,0.16,31.8
761,null,null,null,50716.0,null,52.0,"208031184",null,"Braeside",null,160.0,null,null,null,73973.0,1.1835721E7,null,null,null
751,0.36,5.32,19.7,51864.0,28.9,38.0,"208021176",24.1,"Carnegie",1.91,10976.0,0.465,6.4,24.9,65090.0,7.14430896E8,22.1,0.16,31.2
701,0.32,6.25,28.0,50643.0,29.1,32.0,"206041126",22.5,"Southbank",2.01,13321.0,0.538,13.4,27.2,72915.0,9.71296864E8,21.2,0.14,39.2
764,0.42,4.1,14.9,50537.0,22.9,43.0,"208031187",29.6,"Chelsea Heights",1.7,3094.0,0.393,4.3,21.7,55673.0,1.7225294E8,25.7,0.18,25.1
742,0.3,6.85,19.5,39868.0,20.9,44.0,"207031166",21.7,"Burwood East",2.08,6049.0,0.491,6.2,33.2,51966.0,3.14341183E8,24.2,0.11,31.8
683,0.39,4.76,17.8,50613.0,27.0,37.0,"206011108",25.0,"Coburg",1.84,15929.0,0.439,5.8,23.3,61246.0,9.75582106E8,24.7,0.18,28.9
757,0.36,5.41,20.2,52289.0,30.0,38.0,"208021182",23.0,"Ormond - Glen Huntly",1.93,8419.0,0.475,6.8,24.5,66702.0,5.61562981E8,22.5,0.17,31.8
682,0.38,4.84,18.5,50643.0,26.9,35.0,"206011107",25.2,"Brunswick West",1.85,8887.0,0.444,6.0,23.4,62166.0,5.52469191E8,24.4,0.18,29.6
685,0.37,5.33,20.9,57528.0,34.4,41.0,"206021110",22.3,"Alphington - Fairfield",1.98,5678.0,0.476,6.9,21.3,76516.0,4.34455652E8,22.0,0.2,32.9
727,0.33,6.25,29.3,60906.0,37.7,39.0,"207011152",21.3,"Hawthorn East",2.09,10389.0,0.554,11.8,22.1,94680.0,9.83635617E8,18.9,0.15,41.5
686,0.38,4.88,20.9,58653.0,34.4,39.0,"206021111",23.6,"Northcote",1.85,16022.0,0.466,7.4,20.4,75052.0,1.202479199E9,21.7,0.19,32.3
702,null,null,null,58023.0,null,40.0,"206041127",null,"West Melbourne",null,6.0,null,null,null,107800.0,646798.0,null,null,null
687,0.42,4.35,18.3,53351.0,29.2,38.0,"206021112",25.5,"Thornbury",1.81,11439.0,0.431,6.3,20.5,65088.0,7.44538818E8,24.8,0.22,29.2
705,0.37,5.31,25.2,73296.0,45.3,42.0,"206051130",20.7,"Port Melbourne",1.95,11043.0,0.504,10.6,17.4,101555.0,1.121472328E9,16.6,0.18,36.4
688,0.36,5.46,22.6,57996.0,34.4,38.0,"206031113",23.2,"Ascot Vale",1.94,9239.0,0.485,9.6,21.9,76378.0,7.05657673E8,20.5,0.16,33.9
689,0.37,5.15,23.8,56597.0,33.2,42.0,"206031114",24.1,"Essendon - Aberfeldie",1.93,18304.0,0.494,9.6,21.4,77349.0,1.415790119E9,21.3,0.18,35.4
758,0.36,5.38,19.7,52037.0,30.3,44.0,"208021426",22.5,"Bentleigh East (North)",1.96,8799.0,0.469,6.7,24.4,66331.0,5.8364722E8,22.8,0.17,31.2
690,0.36,5.4,18.8,49028.0,26.4,34.0,"206031115",24.4,"Flemington",1.93,5605.0,0.461,5.8,26.2,61354.0,3.43887024E8,23.1,0.17,30.5
696,0.38,4.57,17.8,63505.0,36.1,35.0,"206041121",25.5,"Kensington (Vic.)",1.72,7079.0,0.431,6.1,19.4,73885.0,5.23035242E8,19.0,0.17,28.7
691,0.36,5.39,21.7,59800.0,35.5,41.0,"206031116",23.0,"Moonee Ponds",1.93,9269.0,0.481,8.2,21.3,78083.0,7.23748906E8,20.2,0.17,33.3
692,0.28,8.18,25.6,36819.0,21.6,31.0,"206041117",19.7,"Carlton",2.29,8400.0,0.55,9.8,36.6,56237.0,4.72390078E8,22.1,0.12,38.2
698,0.31,6.73,22.9,45254.0,26.3,32.0,"206041123",21.3,"North Melbourne",2.08,12853.0,0.511,9.0,30.3,62117.0,7.98383593E8,22.1,0.14,34.9
699,0.28,7.28,26.7,45596.0,26.6,32.0,"206041124",21.6,"Parkville",2.07,3626.0,0.544,10.2,30.2,67230.0,2.43777788E8,21.6,0.11,39.1
703,0.31,7.2,35.0,66160.0,41.9,44.0,"206051128",19.1,"Albert Park",2.25,11003.0,0.604,17.0,21.7,115981.0,1.276135492E9,17.3,0.13,46.8
704,0.4,4.6,23.9,64056.0,37.7,38.0,"206051129",25.4,"Elwood",1.86,10919.0,0.482,9.5,17.7,86143.0,9.40596061E8,19.2,0.21,35.3
706,0.27,9.61,39.8,54090.0,34.7,36.0,"206051131",19.7,"Port Melbourne Industrial",2.55,236.0,0.654,null,28.9,116157.0,2.7412943E7,16.7,0.07,52.5
707,0.33,6.27,27.0,61627.0,38.6,38.0,"206051132",21.5,"South Melbourne",2.1,8243.0,0.534,11.2,21.5,91651.0,7.5547701E8,18.4,0.14,38.7
708,0.36,5.17,23.9,53066.0,30.0,33.0,"206051133",24.2,"St Kilda",1.88,19624.0,0.49,10.5,23.7,70774.0,1.388869641E9,22.1,0.18,35.0
709,0.39,4.62,19.6,54133.0,28.7,34.0,"206051134",27.2,"St Kilda East",1.8,11686.0,0.444,6.7,21.7,66865.0,7.81382523E8,22.5,0.2,30.7
712,0.37,5.04,29.0,60908.0,35.2,33.0,"206061137",24.8,"South Yarra - East",1.86,15467.0,0.526,14.3,20.4,86909.0,1.344217807E9,19.6,0.17,39.8
713,0.32,7.69,48.6,71282.0,44.9,49.0,"206061138",18.4,"Toorak",2.48,10096.0,0.703,27.8,19.9,175696.0,1.773826082E9,16.8,0.14,59.9
714,0.38,4.59,21.5,58359.0,32.2,32.0,"206071139",26.2,"Abbotsford",1.76,6365.0,0.456,9.4,20.3,72002.0,4.58292458E8,21.2,0.19,32.0
715,0.36,5.75,26.9,54876.0,33.1,36.0,"206071140",21.5,"Carlton North - Princes Hill",2.05,5983.0,0.531,11.0,23.1,80741.0,4.83073817E8,22.3,0.17,38.8
718,0.37,5.24,26.1,59458.0,35.3,37.0,"206071143",23.1,"Fitzroy North",1.94,8483.0,0.512,10.7,20.7,83788.0,7.10775756E8,20.9,0.19,37.6
719,0.4,4.49,23.3,63992.0,37.3,34.0,"206071144",25.8,"Richmond (Vic.)",1.8,21746.0,0.47,10.3,17.9,83132.0,1.807796568E9,19.0,0.21,34.1
720,0.38,4.95,24.2,64478.0,38.2,40.0,"206071145",23.7,"Yarra - North",1.89,6047.0,0.498,8.7,18.6,87736.0,5.30537242E8,19.5,0.19,36.0
721,0.31,7.36,26.1,60353.0,39.3,46.0,"207011146",18.4,"Ashburton (Vic.)",2.27,4646.0,0.542,11.5,24.3,92036.0,4.27599723E8,18.0,0.14,38.0
722,0.29,8.24,31.0,49615.0,32.6,48.0,"207011147",18.3,"Balwyn",2.39,10696.0,0.591,12.5,28.5,85026.0,9.09433968E8,20.6,0.11,43.6
724,0.31,7.51,30.6,57447.0,37.7,47.0,"207011149",17.7,"Camberwell",2.34,14144.0,0.583,13.1,24.7,96292.0,1.361960842E9,19.9,0.13,43.1
723,0.33,6.87,28.2,50649.0,32.7,48.0,"207011148",18.8,"Balwyn North",2.25,13032.0,0.564,12.6,27.1,79274.0,1.033097204E9,21.4,0.13,40.5
728,0.32,7.23,35.1,59400.0,38.2,45.0,"207011153",19.2,"Kew",2.35,16786.0,0.614,16.4,23.5,108682.0,1.824333977E9,19.1,0.13,47.6
725,0.31,7.39,26.5,63193.0,40.7,46.0,"207011150",18.3,"Glen Iris - East",2.29,11196.0,0.551,9.9,22.9,97748.0,1.094384139E9,18.1,0.13,39.1
726,0.29,7.5,35.9,56500.0,35.2,37.0,"207011151",20.8,"Hawthorn",2.15,16493.0,0.612,17.2,25.7,97905.0,1.614755093E9,18.3,0.09,47.6
729,0.34,6.84,25.7,56881.0,36.1,47.0,"207011154",20.3,"Kew East",2.31,4185.0,0.539,9.9,23.9,87263.0,3.65194287E8,19.8,0.14,38.2
730,0.3,8.05,34.2,61533.0,40.2,48.0,"207011155",17.6,"Surrey Hills (West) - Canterbury",2.44,10940.0,0.611,16.7,24.0,110484.0,1.208700188E9,18.2,0.13,46.4
731,0.36,5.71,21.6,45948.0,26.1,47.0,"207021156",21.7,"Bulleen",2.05,6722.0,0.498,7.6,27.8,62169.0,4.17897834E8,24.3,0.14,33.8
732,0.33,6.38,24.9,40490.0,22.0,45.0,"207021157",21.2,"Doncaster",2.11,12974.0,0.527,10.8,31.7,57534.0,7.46446134E8,25.0,0.12,36.7
733,0.34,6.53,27.1,47589.0,30.0,49.0,"207021159",19.5,"Templestowe",2.25,10665.0,0.551,11.5,27.8,74005.0,7.89258754E8,22.7,0.14,39.4
762,0.39,4.64,21.0,52287.0,27.5,45.0,"208031185",26.3,"Carrum - Patterson Lakes",1.81,7247.0,0.459,8.3,22.2,65850.0,4.77213384E8,23.9,0.19,32.0
734,0.33,6.48,21.2,45352.0,27.5,47.0,"207021160",20.6,"Templestowe Lower",2.13,8015.0,0.502,7.5,28.9,62193.0,4.98480211E8,23.0,0.12,33.3
739,0.31,7.22,21.7,37979.0,22.2,38.0,"207031163",19.4,"Box Hill",2.27,11812.0,0.52,7.4,34.8,53861.0,6.36211325E8,23.6,0.12,34.3
735,0.33,6.51,22.0,42351.0,24.7,47.0,"207021424",20.6,"Doncaster East (North)",2.13,9355.0,0.513,7.9,30.3,58858.0,5.50614075E8,24.4,0.12,34.3
736,0.31,6.87,20.7,40785.0,22.4,43.0,"207021425",21.5,"Doncaster East (South)",2.1,8008.0,0.502,7.2,32.4,54678.0,4.37861403E8,23.8,0.11,32.8
737,0.32,6.38,22.0,48951.0,29.0,44.0,"207031161",21.5,"Blackburn",2.06,13297.0,0.501,8.4,27.4,66107.0,8.79027406E8,22.2,0.13,33.9
752,0.34,6.37,31.0,57450.0,36.1,41.0,"208021177",20.9,"Caulfield - North",2.17,14098.0,0.566,14.8,23.1,93254.0,1.314700634E9,20.0,0.16,42.5
741,0.31,7.67,23.1,35735.0,21.5,39.0,"207031165",18.1,"Burwood",2.36,6364.0,0.532,7.9,36.4,53303.0,3.39222302E8,24.1,0.12,35.8
740,0.32,6.49,21.8,46114.0,27.1,44.0,"207031164",21.3,"Box Hill North",2.09,10383.0,0.506,7.6,29.0,62894.0,6.53032654E8,22.6,0.12,34.0
744,0.33,7.1,26.9,57104.0,37.2,50.0,"208011168",18.4,"Beaumaris",2.36,9083.0,0.552,11.1,24.0,90674.0,8.23588285E8,20.4,0.14,39.3
753,0.35,6.04,24.4,55608.0,34.9,45.0,"208021178",20.7,"Caulfield - South",2.12,11673.0,0.519,9.6,23.5,80622.0,9.41097376E8,21.0,0.16,36.5
745,0.3,8.45,35.9,66389.0,43.0,50.0,"208011169",17.0,"Brighton (Vic.)",2.57,16039.0,0.625,15.5,22.1,128678.0,2.063860976E9,17.9,0.13,48.6
754,0.37,5.52,28.5,59067.0,36.0,42.0,"208021179",22.0,"Elsternwick",2.03,7717.0,0.535,12.9,21.0,89585.0,6.91326961E8,21.0,0.18,40.0
749,0.32,7.1,28.5,60421.0,39.1,49.0,"208011173",19.0,"Sandringham - Black Rock",2.28,10925.0,0.56,11.8,23.1,96801.0,1.057551343E9,18.8,0.14,40.9
763,0.41,4.2,16.8,53769.0,26.8,42.0,"208031186",28.4,"Chelsea - Bonbeach",1.71,8431.0,0.414,5.6,20.9,61711.0,5.20285938E8,23.9,0.2,27.5
765,0.38,4.77,19.6,51032.0,26.7,43.0,"208031188",26.0,"Cheltenham - Highett (East)",1.84,13505.0,0.453,7.5,23.3,62833.0,8.48554385E8,24.1,0.16,30.6
767,0.36,5.17,21.4,52385.0,28.8,44.0,"208031190",24.5,"Mentone",1.87,8337.0,0.475,7.9,23.9,66945.0,5.58116391E8,22.8,0.15,32.8
768,0.38,4.92,19.2,50347.0,26.6,43.0,"208031191",25.2,"Moorabbin - Heatherton",1.88,5288.0,0.467,6.6,23.8,62469.0,3.30337951E8,24.3,0.17,30.7
766,0.39,4.8,19.3,54869.0,30.9,44.0,"208031189",24.5,"Edithvale - Aspendale",1.85,7770.0,0.45,7.4,21.5,67797.0,5.26781822E8,23.1,0.18,30.3
773,0.35,5.33,17.4,44655.0,21.6,43.0,"209011196",25.0,"Bundoora - East",1.88,5474.0,0.446,5.4,27.9,53355.0,2.92065118E8,25.4,0.14,28.7
781,0.38,4.58,15.4,53514.0,27.0,42.0,"209011204",27.4,"Watsonia",1.76,5290.0,0.411,4.5,22.2,60045.0,3.17638064E8,23.5,0.18,26.1
786,0.38,4.92,17.8,50434.0,27.0,40.0,"209021429",25.3,"Preston - West",1.85,7332.0,0.442,5.5,24.1,60989.0,4.47173594E8,23.7,0.19,29.0
770,0.38,4.94,19.3,56029.0,31.9,44.0,"208031193",24.6,"Mordialloc - Parkdale",1.86,12368.0,0.454,6.6,21.4,69800.0,8.6328663E8,22.1,0.18,30.6
782,0.34,6.22,21.9,41291.0,23.0,40.0,"209021205",21.4,"Kingsbury",2.11,5665.0,0.501,7.6,31.2,56804.0,3.21796386E8,24.4,0.15,33.9
