neg_nil_inc_non_fam_househlds, hi_1250_1499_tot, all_incomes_ns_famly_househld, hi_1500_1749_fam_households, hi_4000_more_tot, hi_400_499_family_households, hi_400_499_non_fam_househlds, hi_650_799_tot, part_inc_stated_fam_household, hi_800_999_non_fam_hsehlds, tot_family_households, hi_1000_1249_fam_households, hi_3500_3999_fam_households, hi_1_149_non_family_hseholds, hi_800_999_fam_households, hi_3500_3999_non_fam_hsehlds, hi_500_649_non_fam_househlds, hi_2000_2499_tot, hi_1750_1999_non_fam_hsehlds, hi_400_499_tot, hi_4000_more_fam_households, hi_1250_1499_non_fam_hsehlds, hi_1250_1499_fam_households, hi_1000_1249_tot, hi_1000_1249_non_fam_hsehlds, hi_500_649_family_households, hi_2000_2499_fam_households, part_inc_std_non_fam_hhds, negative_nil_income_tot, hi_1500_1749_tot, hi_3000_3499_fam_households, partial_income_stated_tot, hi_3500_3999_tot, hi_650_799_non_fam_househlds, hi_500_649_tot, hi_2500_2999_fam_households, hi_150_299_tot, hi_150_299_non_fam_househlds, hi_2500_2999_non_fam_hsehlds, hi_300_399_family_households, sa4_name16, hi_4000_more_non_fam_hsehlds, all_incomes_not_stated_tot, tot_non_family_households, hi_1500_1749_non_fam_hsehlds, hi_150_299_family_households, hi_1750_1999_tot, hi_800_999_tot, hi_300_399_non_fam_househlds, hi_2500_2999_tot, all_inc_ns_non_famly_househld, hi_1_149_family_households, hi_3000_3499_non_fam_hsehlds, hi_2000_2499_non_fam_hsehlds, tot_tot, sa4_code16, hi_1_149_tot, hi_3000_3499_tot, neg_nil_inc_fam_households, hi_300_399_tot, hi_1750_1999_fam_households, hi_650_799_family_households
482,4618,736,2772,1748,1405,4226,5683,3639,1867,39682,3774,877,262,3090,252,1948,5162,488,5631,1720,1052,3570,5351,1576,1486,4607,410,802,3550,1542,4050,1126,1717,3434,2738,1544,1221,112,342,"Ballarat",27,1844,20067,779,323,3051,4960,1957,2852,1102,213,35,555,59743,"201",475,1577,324,2301,2558,3970
375,4695,652,2780,1703,1225,3683,5204,3602,1747,38945,3829,960,268,2953,242,1882,5203,492,4911,1674,1035,3664,5347,1522,1297,4573,367,624,3515,1606,3969,1204,1630,3174,2877,1336,1043,95,309,"Bendigo",33,1682,18570,732,294,3091,4698,1723,2974,1028,223,47,633,57513,"202",496,1649,254,2035,2605,3580
725,7851,1255,4765,4432,2141,5662,8140,6768,2788,71673,6175,2176,438,4641,477,3128,10426,981,7804,4336,1826,6027,8870,2696,2152,9180,639,1260,6167,3559,7405,2652,2519,5284,6070,2229,1697,187,502,"Geelong",89,2876,30955,1401,525,5873,7422,2720,6258,1623,347,98,1252,102631,"203",781,3657,536,3224,4896,5617
444,5142,901,3057,1554,1511,4141,5924,4417,1932,43821,4200,881,262,3329,222,2135,5659,460,5657,1521,1048,4098,5895,1697,1467,5105,248,770,3743,1620,4664,1102,1775,3597,3219,1524,1180,99,387,"Hume",32,2220,20273,690,348,3483,5260,2002,3319,1318,262,25,548,64101,"204",529,1650,327,2389,3022,4154
838,7758,1503,4480,2904,2819,7220,10216,6989,2846,69914,6918,1526,560,5622,469,3452,8186,746,10039,2850,1527,6229,9406,2490,2668,7299,389,1460,5589,2381,7375,1996,2864,6115,4362,2897,2269,127,682,"Latrobe - Gippsland",53,3664,33568,1108,625,5277,8465,3512,4490,2166,457,47,887,103488,"205",1021,2426,621,4188,4529,7355
8653,15667,1418,6029,26521,2651,8043,10934,11898,7777,130369,6656,8736,1894,4690,6681,5669,27557,6664,10697,24242,8845,6818,16426,9763,2375,15557,6249,11078,14358,9598,18143,15421,5894,8045,12644,6028,4753,2582,868,"Melbourne - Inner",2279,4312,116542,8322,1280,13335,12467,5858,15225,2895,791,1697,12005,246911,"206",2687,11297,2422,6730,6666,5038
2130,7863,1137,4437,17847,1793,4128,6575,9539,2745,92410,5567,5265,663,4050,1518,3069,12646,1688,5922,17579,2459,5405,8604,3029,1778,9880,1093,3897,6576,5730,10627,6782,2499,4848,7711,2418,1635,448,560,"Melbourne - Inner East",271,2326,35917,2140,775,6407,6797,2173,8161,1191,644,268,2763,128334,"207",1306,5995,1767,2729,4713,4074
1798,9237,1453,5083,19665,1773,5829,7704,10398,3736,104491,5906,6710,696,4202,1763,3900,15414,2069,7601,19409,3241,5997,10037,4129,1738,12143,1052,2910,7935,7197,11448,8474,3230,5637,9674,2510,1918,422,502,"Melbourne - Inner South",255,3339,45239,2848,588,7682,7938,2929,10096,1884,520,266,3270,149732,"208",1213,7460,1113,3433,5611,4466
1378,12820,2035,8642,10091,3279,6053,11225,11850,3553,128476,9688,5072,578,7140,690,3080,19535,1703,9335,9942,2920,9894,13577,3884,3205,17368,1015,2713,10968,7575,12867,5759,3065,6282,12233,3071,2114,390,763,"Melbourne - North East",148,3772,40190,2326,954,10389,10689,3209,12620,1739,663,166,2169,168667,"209",1245,7740,1332,3975,8686,8162
881,9210,1692,6246,5804,2829,4419,8464,8605,2267,92080,7600,3340,403,5852,368,2119,13004,1001,7250,5718,1804,7401,10099,2503,2634,11740,595,1927,7624,4874,9199,3710,1925,4745,7885,2297,1486,236,689,"Melbourne - North West",84,3089,26538,1380,812,7078,8125,2278,8116,1397,508,118,1262,118615,"210",916,4992,1048,2964,6074,6534
1173,13016,2029,8780,10870,2620,7023,11112,12589,3951,133533,10148,5540,575,7463,640,4077,20531,1588,9641,10749,2777,10244,14162,4015,3007,18575,786,2280,10963,8224,13382,6182,3462,7085,13547,2727,1892,321,659,"Melbourne - Outer East",118,3979,41759,2180,833,10801,11414,3120,13865,1953,565,151,1950,175298,"211",1138,8373,1113,3784,9211,7648
2553,19403,2791,13632,11641,4913,8541,16716,17462,4895,189847,16046,6201,807,11709,758,4385,28067,1748,13458,11328,3402,15998,20997,4948,5219,25691,1495,5073,16209,9476,18952,6956,4105,9603,16569,4423,2750,574,1386,"Melbourne - South East",314,5247,53167,2571,1673,15287,16609,4166,17143,2453,1070,321,2375,243018,"212",1873,9795,2517,5559,13536,12611
1894,18716,2998,12854,12023,4824,7741,15204,16219,4815,182530,14662,6843,766,10992,954,3794,27551,2179,12562,11713,3987,14727,20082,5420,5152,24533,1501,4114,15896,10241,17715,7799,3803,8948,16362,4860,3077,654,1430,"Melbourne - West",308,5452,53894,3040,1785,14762,15808,4154,17013,2454,995,334,3025,236425,"213",1762,10577,2218,5584,12580,11400
857,8193,1457,5240,4859,1901,5949,8265,7507,3032,75813,6456,2410,390,4973,506,3369,10784,921,7854,4807,1868,6325,9380,2927,2110,9746,527,1466,6574,3730,8028,2912,2630,5482,6443,1992,1520,142,507,"Mornington Peninsula",51,3406,31668,1331,466,6062,7998,2605,6586,1949,343,64,1030,107477,"214",732,3799,608,3111,5146,5636
420,4531,934,2429,1167,1492,4261,5728,3806,1706,37704,3814,588,284,3197,215,1993,4408,364,5754,1129,795,3738,5249,1431,1347,3955,226,790,3034,1144,4040,807,1706,3334,2199,1537,1170,78,338,"North West",40,2287,19192,602,366,2925,4901,2044,2277,1355,267,37,454,56900,"215",553,1180,371,2387,2562,4020
342,3804,778,2225,1141,1242,2973,4550,3238,1388,32811,3221,568,190,2452,147,1447,4111,322,4215,1109,668,3130,4395,1173,1162,3740,196,681,2716,1107,3438,714,1241,2610,2170,1146,862,85,271,"Shepparton",34,1872,14509,490,287,2579,3841,1456,2252,1089,196,31,373,47321,"216",381,1141,336,1731,2266,3312
335,3642,652,2134,1211,1102,3094,4176,2996,1422,31180,3093,607,260,2432,214,1634,4019,339,4192,1171,724,2920,4341,1252,1073,3620,223,616,2665,1112,3214,816,1287,2708,2156,1249,975,88,269,"Warrnambool and South West",41,1656,15359,540,280,2540,3853,1490,2246,1002,211,39,401,46541,"217",471,1147,280,1763,2199,2886
