sold_both_auction_private_treaty_detailedposition10price, sold_both_auction_private_treaty_detailedposition65price, for_sale_both_auction_private_treaty_detailedposition60price, for_sale_both_auction_private_treaty_detailedposition45price, datemonth, sold_both_auction_private_treaty_minimumprice, for_rent_home_lease_detailedposition45price, for_rent_home_lease_detailedposition30price, for_sale_both_auction_private_treaty_detailedposition25price, sold_both_auction_private_treaty_detailedposition30price, for_sale_both_auction_private_treaty_position25price, for_rent_home_lease_detailedpricecalcreccount, sold_both_auction_private_treaty_detailedposition50price, for_rent_home_lease_eventcount, for_sale_both_auction_private_treaty_detailedposition65price, for_sale_both_auction_private_treaty_detailedposition40price, auction_activity_auctiontotalsold, propertycategorisation, for_sale_both_auction_private_treaty_detailedposition15price, for_sale_both_auction_private_treaty_detailedposition80price, for_rent_home_lease_detailedposition75price, for_sale_both_auction_private_treaty_position75price, auction_activity_auctionlistedcount, sold_private_treaty_daysonmarketrecordcount, auction_activity_auctionwithdrawncount, gid, sold_both_auction_private_treaty_detailedposition55price, sold_both_auction_private_treaty_detailedpricecalcreccount, for_rent_home_lease_detailedposition80price, enddate, sold_both_auction_private_treaty_detailedposition05price, for_rent_home_lease_detailedposition65price, sold_both_auction_private_treaty_standarddeviationprice, for_sale_both_auction_private_treaty_eventcount, sold_both_auction_private_treaty_detailedposition90price, for_rent_home_lease_detailedposition20price, sa42016id, for_sale_both_auction_private_treaty_minimumprice, for_rent_home_lease_detailedposition35price, auction_activity_auctionpostponedcount, sold_both_auction_private_treaty_detailedposition20price, for_rent_home_lease_geometricmeanprice, for_rent_home_lease_detailedposition90price, for_rent_home_lease_detailedposition15price, sold_both_auction_private_treaty_position75price, sold_both_auction_private_treaty_detailedposition85price, for_sale_both_auction_private_treaty_detailedposition20price, for_rent_home_lease_averageprice, for_sale_both_auction_private_treaty_detailedposition90price, sold_private_treaty_averagediscount, for_rent_home_lease_pricecalcreccount, for_rent_home_lease_detailedposition05price, gross_rental_yield, sa42016code, for_sale_both_auction_private_treaty_detailedpricecalcreccount, for_sale_both_auction_private_treaty_detailedposition70price, for_rent_home_lease_maximumprice, auction_activity_auctionsoldpriorcount, sold_both_auction_private_treaty_position25price, for_sale_both_auction_private_treaty_detailedposition05price, for_sale_both_auction_private_treaty_detailedposition85price, for_rent_home_lease_standarddeviationprice, for_sale_both_auction_private_treaty_detailedposition35price, for_sale_both_auction_private_treaty_pricecalcreccount, sa42016name, sold_both_auction_private_treaty_medianprice, sold_both_auction_private_treaty_detailedposition75price, for_sale_both_auction_private_treaty_detailedposition55price, sold_both_auction_private_treaty_detailedposition35price, sold_both_auction_private_treaty_eventcount, sa42016pid, for_sale_both_auction_private_treaty_detailedposition30price, for_sale_both_auction_private_treaty_totalprice, sold_both_auction_private_treaty_detailedposition15price, sold_both_auction_private_treaty_detailedposition80price, for_rent_home_lease_detailedposition10price, for_rent_home_lease_detailedposition85price, sold_both_auction_private_treaty_totalprice, sold_both_auction_private_treaty_detailedposition70price, for_sale_both_auction_private_treaty_geometricmeanprice, auction_activity_auctionclearancerate, sold_both_auction_private_treaty_detailedposition60price, auction_activity_auctionnotsoldcount, sold_both_auction_private_treaty_detailedposition45price, for_rent_home_lease_medianprice, for_sale_both_auction_private_treaty_detailedposition75price, for_rent_home_lease_totalprice, for_sale_both_auction_private_treaty_medianprice, for_rent_home_lease_detailedposition95price, sold_both_auction_private_treaty_detailedposition95price, dateyear, auction_activity_auctionsoldunderhammercount, sold_both_auction_private_treaty_geometricmeanprice, for_rent_home_lease_position25price, state, for_rent_home_lease_position75price, for_rent_home_lease_detailedposition40price, for_sale_both_auction_private_treaty_detailedposition50price, for_sale_both_auction_private_treaty_detailedposition10price, for_sale_both_auction_private_treaty_standarddeviationprice, for_rent_home_lease_detailedposition55price, sold_both_auction_private_treaty_detailedposition40price, for_rent_home_lease_detailedposition50price, sold_both_auction_private_treaty_averageprice, for_sale_both_auction_private_treaty_detailedposition95price, auction_activity_auctiontotalreported, sold_private_treaty_averagedaysonmarket, auction_activity_auctionsoldaftercount, for_sale_both_auction_private_treaty_averageprice, for_rent_home_lease_detailedposition70price, sold_private_treaty_discountrecordcount, for_sale_both_auction_private_treaty_maximumprice, for_rent_home_lease_detailedposition60price, for_rent_home_lease_minimumprice, for_rent_home_lease_detailedposition25price, sold_both_auction_private_treaty_pricecalcreccount, sold_both_auction_private_treaty_maximumprice, sold_both_auction_private_treaty_detailedposition25price
203000.0,369000.0,355000,317363,12,85117,275,260,258000,260000.0,258000,4254,320000.0,4254,370000,300000,56.0,"House",225000,449880,330,420000,150.0,2787,9.0,null,337000.0,3452,340,"31/12/2016 12:00:00 AM",175000.0,310,184820.7,5842,560000.0,245,74,23800,260,5.0,234000.0,285.9346,380,235,420000.0,495000.0,245000,293.5755,551105,0.06784119,4254,200,0.0455,201,5786,391676,3100,12.0,249500.0,169990,490000,79.47605,290000,5786,"Ballarat",320000.0,420000.0,341480,277500.0,3472,"SA4_16201",275000,2.118972E9,220000.0,455000.0,220,350,1.248291E9,390000.0,331621.0,0.38888890000000004,350000.0,71.0,305550.0,280.0,420000,1248870.0,329590.0,410,680000.0,2016,44.0,329357.8,250,"VIC",330,270,329580,200000,196383.0,290,292500.0,280,361613.7,690000.0,144.0,131.0,13.0,366224.0,320,1804,4987500.0,300,90,250,3452,3000000.0,249500.0
225000.0,410000.0,388436,345600,12,69000,300,275,290000,299000.0,290000,3529,355000.0,3529,400000,332896,74.0,"House",255000,485000,350,450000,268.0,2454,19.0,null,375000.0,2973,355,"31/12/2016 12:00:00 AM",195000.0,320,190968.3,5772,614000.0,260,75,26500,280,6.0,265000.0,305.8454,400,250,465000.0,545000.0,275000,313.7246,595000,0.0737341,3529,220,0.04394366,202,5695,428000,1050,27.0,282500.0,195000,535000,75.53069,320000,5695,"Bendigo",355000.0,465000.0,370000,315000.0,2978,"SA4_16202",305000,2.296183E9,247500.0,500000.0,240,375,1.188437E9,440000.0,364516.3,0.3663366,390000.0,94.0,345000.0,300.0,450000,1107134.0,359000.0,450,740000.0,2016,47.0,366386.5,270,"VIC",350,290,359000,230000,367182.8,310,328000.0,300,399743.3,729000.0,202.0,148.0,20.0,403192.8,330,1535,2.1945E7,320,40,270,2973,2225000.0,282500.0
270000.0,550000.0,449000,395000,12,65650,340,300,344000,370000.0,344000,6599,454000.0,6622,476800,382333,645.0,"House",302174,598000,400,549050,1128.0,4774,66.0,null,481000.0,6408,420,"31/12/2016 12:00:00 AM",230000.0,380,305442.2,10860,840000.0,280,76,10000,320,14.0,330000.0,347.7179,475,270,625000.0,740000.0,328795,362.2076,765000,0.061225800000000004,6599,230,0.04008811,203,10237,500000,3259,107.0,350000.0,229000,670000,125.4429,370000,10237,"Geelong",454000.0,625000.0,429000,390000.0,6417,"SA4_16203",359000,5.031047E9,305000.0,675000.0,250,450,3.405424E9,585000.0,437313.9,0.624395,515000.0,240.0,430000.0,350.0,549050,2390208.0,409000.0,540,1050000.0,2016,538.0,473401.5,295,"VIC",400,330,409000,276105,315128.6,360,410000.0,350,531433.2,950000.0,1033.0,106.0,113.0,491457.2,395,2011,8000000.0,370,33,295,6408,3500000.0,350000.0
187000.0,355000.0,365000,329000,12,58500,290,265,265000,256000.0,265000,2897,308000.0,2903,379000,315000,54.0,"House",229000,449400,350,420000,158.0,2362,9.0,null,322000.0,3067,360,"31/12/2016 12:00:00 AM",163000.0,330,168724.8,5975,520000.0,250,77,100,275,6.0,230000.0,298.7796,390,240,395000.0,460000.0,249000,309.9306,555000,0.07350528,2897,200,0.05064935,204,5900,395000,5000,16.0,245000.0,167000,495000,134.5033,298000,5900,"Hume",308000.0,395000.0,350000,267000.0,3072,"SA4_16204",285000,2.167097E9,210000.0,421500.0,220,375,1.037266E9,375000.0,332972.6,0.4,339000.0,73.0,295000.0,300.0,420000,897869.0,340000.0,420,605000.0,2016,38.0,311245.3,260,"VIC",350,280,340000,199000,192916.2,310,280000.0,300,338202.1,660000.0,135.0,185.0,1.0,367304.6,340,1906,5500000.0,320,100,260,3067,5000000.0,245000.0
170000.0,359000.0,349450,303750,12,78500,270,250,240000,241000.0,240000,6171,305000.0,6189,368609,290000,79.0,"House",198503,449000,330,415000,252.0,4817,14.0,null,323000.0,5868,340,"31/12/2016 12:00:00 AM",149500.0,305,164461.4,13718,520000.0,230,78,4001,255,11.0,210000.0,279.3152,380,220,405000.0,468000.0,220000,293.3576,550000,0.08160718,6171,185,0.04773771,205,13556,389000,2500,22.0,225000.0,140000,495000,126.4096,278188,13556,"Latrobe - Gippsland",305000.0,405000.0,335120,258000.0,5876,"SA4_16205",259000,4.83676E9,189000.0,430000.0,200,355,1.966517E9,380000.0,315320.8,0.3989899,340000.0,101.0,288000.0,280.0,415000,1810310.0,320000.0,400,630000.0,2016,57.0,304190.4,240,"VIC",330,260,320000,170000,256994.9,290,272500.0,280,335125.6,675000.0,198.0,247.0,8.0,356798.4,320,4056,1.5E7,300,10,240,5868,2620000.0,225000.0
650000.0,1380000.0,1000000,850000,12,165000,550,480,689000,894000.0,689000,11504,1152500.0,11506,1100000,800000,3143.0,"House",598500,1450000,700,1300000,3903.0,2144,80.0,null,1220000.0,5501,750,"31/12/2016 12:00:00 AM",545000.0,640,1368351.0,5377,2420000.0,440,79,2195,500,39.0,795000.0,576.8033,880,420,1615000.0,2000000.0,650000,618.5564,2084775,0.07541381,11504,350,0.02526681,206,3759,1200000,4000,497.0,850000.0,395000,1700000,275.9012,770000,3759,"Melbourne - Inner",1152500.0,1615000.0,950000,941000.0,5532,"SA4_16206",720000,4.76758E9,730000.0,1775000.0,385,795,8.141775E9,1481000.0,969058.2,0.791289,1300000.0,764.0,1075000.0,560.0,1300000,7115873.0,899000.0,1050,3500000.0,2016,2646.0,1214110.0,460,"VIC",700,520,899000,500000,1462379.0,590,1001500.0,560,1480054.0,3150000.0,3972.0,57.0,58.0,1268311.0,660,257,2.69325E7,600,40,460,5501,2.625E7,850000.0
890002.0,1680000.0,1371563,1100000,12,350000,500,450,900000,1150000.0,900000,6370,1400500.0,6372,1500000,1000000,2603.0,"House",800000,2000000,675,1800000,3478.0,2478,50.0,null,1490000.0,4949,720,"31/12/2016 12:00:00 AM",761888.0,600,946458.8,5574,2700000.0,410,80,30000,460,32.0,1020000.0,552.1478,890,399,1930000.0,2351000.0,850000,595.4997,2650000,0.07535858,6370,350,0.01949304,207,3396,1605000,3495,388.0,1090000.0,580000,2250000,272.8845,992014,3396,"Melbourne - Inner East",1400500.0,1930000.0,1250000,1202000.0,4972,"SA4_16207",940000,5.141447E9,960000.0,2122000.0,380,795,8.203815E9,1800000.0,1275319.0,0.7426534,1580000.0,881.0,1332500.0,525.0,1800000,3793333.0,1199000.0,1100,3290000.0,2016,2215.0,1478419.0,430,"VIC",675,480,1199000,700000,1079629.0,550,1270000.0,525,1657671.0,3400000.0,3505.0,66.0,48.0,1513971.0,635,322,1.0E7,575,76,430,4949,1.4825E7,1090000.0
670000.0,1455500.0,1100000,897750,12,235000,530,465,699000,930000.0,699000,6550,1220000.0,6552,1200000,849000,3132.0,"House",598500,1560000,750,1400000,3915.0,2295,76.0,null,1296000.0,5851,800,"31/12/2016 12:00:00 AM",578000.0,650,942360.7,5770,2460000.0,425,81,1100,490,33.0,810000.0,594.3088,1000,400,1700000.0,2100000.0,650000,654.48,2100000,0.06816686,6550,350,0.02344262,208,3609,1300000,4085,439.0,870000.0,440000,1795000,341.3137,790000,3609,"Melbourne - Inner South",1220000.0,1700000.0,1000000,992000.0,5903,"SA4_16208",740000,4.680974E9,750000.0,1850250.0,380,875,8.43998E9,1569500.0,1011234.0,0.8,1370000.0,736.0,1150000.0,550.0,1400000,4286844.0,950000.0,1300,3120000.0,2016,2693.0,1248380.0,450,"VIC",750,500,950000,540000,3703345.0,595,1070000.0,550,1442485.0,2800000.0,3915.0,54.0,67.0,1297028.0,700,277,2.13465E8,620,50,450,5851,1.425E7,870000.0
417000.0,710000.0,469500,425000,12,140000,360,345,379915,506000.0,379915,8989,615000.0,8989,490000,412040,2954.0,"House",351780,600000,420,550000,3769.0,3807,66.0,null,641000.0,7206,450,"31/12/2016 12:00:00 AM",390000.0,400,351038.4,14079,1025000.0,330,82,2066,350,41.0,460000.0,382.05199999999996,500,320,790000.0,914000.0,368070,391.095,765000,0.054353,8989,295,0.03128455,209,11980,517500,1430,478.0,480000.0,300000,677877,91.70042,400000,11980,"Melbourne - North East",615000.0,790000.0,450920,536000.0,7232,"SA4_16209",390000,6.17144E9,439900.0,845000.0,310,460,5.005304E9,748500.0,469568.3,0.7753281,673000.0,770.0,590000.0,370.0,550000,3515553.0,440000.0,550,1270000.0,2016,2476.0,639053.8,340,"VIC",420,355,440000,335000,297344.4,380,565000.0,370,694602.4,950000.0,3810.0,65.0,110.0,515145.3,405,560,8400000.0,385,20,340,7206,4780000.0,480000.0
380000.0,615000.0,454730,417200,12,185000,360,340,368750,445000.0,368750,6759,529000.0,6760,469550,404050,2053.0,"House",338400,542780,400,507600,2816.0,3377,82.0,null,555000.0,6023,420,"31/12/2016 12:00:00 AM",340000.0,390,300380.0,14363,886500.0,325,83,10000,350,56.0,412000.0,372.4181,465,320,690100.0,802000.0,352372,379.4538,660000,0.05690509,6759,295,0.03538752,210,13239,486350,1800,468.0,430000.0,280000,590000,81.78065,394900,13239,"Melbourne - North West",529000.0,690100.0,441550,460000.0,6036,"SA4_16210",380700,7.33378E9,395000.0,741000.0,310,440,3.618156E9,650000.0,441238.7,0.7424955,585000.0,626.0,503000.0,360.0,507600,2564728.0,429139.0,520,1090000.0,2016,1585.0,557071.4,330,"VIC",400,350,429139,317000,8714582.0,370,480000.0,360,600723.2,800000.0,2765.0,75.0,56.0,553952.8,400,735,1.0E9,380,33,330,6023,9450000.0,430000.0
475000.0,780000.0,650000,585000,12,133099,395,370,490000,600000.0,490000,7079,692000.0,7082,690000,560000,1855.0,"House",440000,800000,450,750000,2470.0,5553,58.0,null,720000.0,7984,470,"31/12/2016 12:00:00 AM",425000.0,430,316119.3,8424,1071000.0,350,84,4000,380,45.0,547000.0,408.5021,520,350,850000.0,960000.0,470000,417.6103,950000,0.06392294,7079,310,0.0300578,211,7145,720000,3000,327.0,573000.0,350000,868000,99.94681,540000,7145,"Melbourne - Outer East",692000.0,850000.0,630000,620000.0,8002,"SA4_16211",514500,5.033318E9,515000.0,900000.0,330,490,6.026429E9,810000.0,618716.8,0.7605576000000001,750000.0,506.0,670000.0,400.0,750000,2956263.0,600000.0,565,1300000.0,2016,1528.0,707836.1,360,"VIC",450,385,600000,400000,2498356.0,410,645300.0,400,754813.3,1250000.0,2439.0,44.0,75.0,704453.3,440,486,2.096595E8,420,12,360,7984,5600000.0,573000.0
390000.0,660000.0,480000,436000,12,127000,375,350,385000,470000.0,385000,13499,560000.0,13504,500000,421900,2290.0,"House",353836,600000,445,560000,3351.0,7911,115.0,null,590000.0,11726,460,"31/12/2016 12:00:00 AM",360000.0,410,394165.1,25896,1135000.0,330,85,12,360,88.0,430000.0,393.0141,530,320,770000.0,966000.0,370490,403.9611,795000,0.05461223,13499,290,0.03528572,212,23319,527530,2955,469.0,450000.0,300000,675000,102.4094,410000,23319,"Melbourne - South East",560000.0,770000.0,465000,490000.0,11762,"SA4_16212",397500,1.239731E10,410000.0,860000.0,310,495,7.9665E9,710000.0,481818.2,0.7028852,620000.0,842.0,535000.0,380.0,560000,5453071.0,450000.0,600,1360000.0,2016,1821.0,611303.3,345,"VIC",445,365,450000,335000,358740.4,390,510000.0,380,679387.8,1000000.0,3258.0,55.0,127.0,531639.9,420,1330,2.105E7,400,38,345,11726,1.1E7,450000.0
330000.0,565000.0,448875,403300,12,147000,350,330,358050,415000.0,358050,17017,490000.0,17025,461100,395000,2563.0,"House",329000,534700,420,500000,3592.0,8377,145.0,null,511000.0,12489,440,"31/12/2016 12:00:00 AM",300700.0,390,295349.2,30134,850000.0,310,86,4000,340,93.0,379000.0,372.3745,500,300,635000.0,750000.0,345000,382.4486,639000,0.04648853,17017,275,0.03820408,213,28689,480600,2000,644.0,397500.0,270000,575727,96.61731999999999,382850,28689,"Melbourne - West",490000.0,635000.0,431350,430000.0,12541,"SA4_16213",370450,1.439417E10,355000.0,685000.0,290,460,6.992472E9,600000.0,428116.4,0.7401097,538000.0,748.0,470000.0,360.0,500000,6508128.0,419000.0,570,1021000.0,2016,1919.0,514755.9,320,"VIC",420,350,419000,305990,6221521.0,370,450000.0,360,559890.5,750000.0,3463.0,66.0,92.0,501731.2,400,2464,1.044E9,380,31,320,12489,7400000.0,397500.0
392000.0,685000.0,595000,495000,12,86000,360,340,400000,471000.0,400000,4761,580000.0,4761,640000,470000,995.0,"House",369000,830000,450,750000,1439.0,5252,56.0,null,610000.0,7216,470,"31/12/2016 12:00:00 AM",360000.0,410,556444.5,8581,1175000.0,320,87,2000,350,26.0,432000.0,393.0581,555,300,798000.0,968000.0,390000,419.0651,1150000,0.06246537,4761,270,0.03317241,214,7883,690000,5000,227.0,450000.0,300000,930000,226.6102,449000,7883,"Mornington Peninsula",580000.0,798000.0,559000,495000.0,7273,"SA4_16214",425000,5.561736E9,415000.0,870000.0,290,500,5.247093E9,740000.0,576289.9,0.7066760999999999,650000.0,325.0,550000.0,370.0,750000,1995169.0,527000.0,680,1550000.0,2016,768.0,632512.3,330,"VIC",450,350,527000,341250,988786.3,380,520000.0,370,727147.0,1575000.0,1408.0,63.0,56.0,705535.5,425,1176,5.7E7,395,69,330,7216,1.02E7,450000.0
139500.0,280000.0,265000,219000,12,4000,260,230,155000,185000.0,155000,2364,240000.0,2367,280000,198000,82.0,"House",125000,340000,320,319000,216.0,1916,7.0,null,254500.0,2406,330,"31/12/2016 12:00:00 AM",125000.0,298,119174.4,4676,410000.0,200,88,13000,240,6.0,162000.0,260.5857,360,190,315000.0,367500.0,139990,271.0618,410000,0.07689419,2364,160,0.05741667,215,4577,297500,1200,36.0,173745.0,80000,370000,77.95692,180000,4577,"North West",240000.0,315000.0,249000,200000.0,2410,"SA4_16215",169000,1.150352E9,150500.0,340000.0,180,350,6.270513E8,300000.0,217322.2,0.4505495,267000.0,87.0,230000.0,265.0,319000,640790.0,230000.0,395,475000.0,2016,46.0,236766.6,220,"VIC",320,250,230000,105000,156264.4,275,215000.0,265,260619.8,479000.0,182.0,128.0,9.0,251333.2,300,1128,5550000.0,285,30,220,2406,1320000.0,173745.0
163000.0,325000.0,321758,278400,12,100000,280,255,219000,227000.0,219000,2056,275000.0,2056,336500,265000,61.0,"House",185000,390000,340,368000,181.0,1487,7.0,null,289000.0,1894,350,"31/12/2016 12:00:00 AM",145000.0,320,159461.4,4187,460000.0,240,89,3000,260,6.0,197000.0,286.9887,385,230,360000.0,419000.0,199000,295.873,480000,0.07022455,2056,190,0.05483636,216,4100,350000,1520,17.0,212500.0,139000,425000,75.05637,249000,4100,"Shepparton",275000.0,360000.0,305258,240000.0,1896,"SA4_16216",235000,1.308636E9,180000.0,386000.0,215,365,5.822538E8,340000.0,283495.8,0.3526012,310000.0,94.0,265000.0,290.0,368000,608315.0,291250.0,420,550000.0,2016,44.0,280283.6,250,"VIC",340,270,290900,165000,228380.5,300,251000.0,290,307420.2,585000.0,173.0,231.0,15.0,319179.5,330,1144,9000000.0,300,17,250,1894,2005170.0,212500.0
165000.0,350000.0,349900,295000,12,61334,280,250,219000,237000.0,219000,2343,300000.0,2395,369000,275200,57.0,"House",179000,460000,340,420000,169.0,1548,9.0,null,318000.0,1973,350,"31/12/2016 12:00:00 AM",147500.0,320,212189.7,4460,545000.0,230,90,13000,260,3.0,200000.0,290.0352,395,220,400000.0,475002.0,199000,319.274,600000,0.09178419,2343,180,0.04853333,217,4373,389000,7000,7.0,220000.0,125000,520000,265.3908,255000,4373,"Warrnambool And South West",300000.0,400000.0,330000,255000.0,1977,"SA4_16217",239000,1.611232E9,182500.0,435000.0,200,370,6.804879E8,375000.0,308277.1,0.37012990000000007,330690.0,85.0,285000.0,280.0,420000,748059.0,315000.0,440,685000.0,2016,50.0,304426.4,240,"VIC",340,270,315000,157605,342631.3,295,270000.0,280,344900.1,790000.0,154.0,276.0,4.0,368450.0,325,1239,1.2E7,300,50,240,1973,3110000.0,220000.0
